message,selected_messages,sentiment
just dropped my biscuit in my tea,dropped biscuit tea,neutral
you know when your make late night calls to india team members for more pictures your struggling with your message  thanks ,know make late night calls india team members pictures struggling message thanks,negative
lotsa water its already dark out,lotsa water already dark,neutral
getting rained out  the devon horse show  head desk,getting rained devon horse show head desk,neutral
tiny phds will do because those bigger than me keep taunting me,tiny phds bigger keep taunting,neutral
seriously underrated porridge the best breakfast in the world ever doesnt need to be gloopy as long as it is made just right,seriously underrated porridge best breakfast world ever doesnt need gloopy long made right,neutral
in this exact moment i have decided that in some point in my life i am going to adopt a child,exact moment decided point life going adopt child,positive
sick daddy  send prayer his way,sick daddy send prayer way,negative
 wowthat must be sooo cool,wowthat must sooo cool,positive
_benson loved the macaramber,_benson loved macaramber,positive
i am sick very sick sore throat and flu,sick sick sore throat flu,negative
 what are we doin tell me tell me,doin tell tell,neutral
didnt know the statue in the venetian was a real man and screamed so loud everyone laughed,didnt know statue venetian real man screamed loud everyone laughed,neutral
thanx peeps  following me,thanx peeps following,positive
_tina _adriii guys  i am literally going to sydney in the junejuly hols can we meet i wanna try one of those lindt cafes,_tina _adriii guys literally going sydney junejuly hols meet wan na try one lindt cafes,neutral
 i dont know what to write anymore my mind must be tired its past midnight here already do a tour in the philippines,dont know write anymore mind must tired past midnight already tour philippines,negative
gone to the shiggity shwa back sunday,gone shiggity shwa back sunday,neutral
just got back from the bbq i got sunburn on my legs well sore,got back bbq got sunburn legs well sore,negative
 im the heir to the over draft,im heir draft,negative
 hahahahah  would be the chief contributors lol,hahahahah would chief contributors lol,neutral
 it often pays to wait,often pays wait,neutral
 imagine i would saybitch lol if i were ma d haha but im not cuz ur cool,imagine would saybitch lol haha im cuz ur cool,positive
 no go on the bro down tonight for brett,go bro tonight brett,neutral
 seen u a couple of times liked it,seen u couple times liked,positive
feels really sick just puked my guts out    help please,feels really sick puked guts help please,negative
in a meeting discussion colour of bikeshed,meeting discussion colour bikeshed,neutral
pouring outside cleaning out my locker my bookbag is heavy and my back and arms are killing me,pouring outside cleaning locker bookbag heavy back arms killing,negative
i try soo hard toget what i want  i always end up having a goose egg,try soo hard toget want always end goose egg,negative
  being a fan is certainly not about being attractive but if you like the pink to each their own  canucks,fan certainly attractive like pink canucks,neutral
 voting for you hope you are voting for me i am now a white blank with my name  mr twitter and funniset,voting hope voting white blank name mr twitter funniset,positive
 bows glad to be of service,bows glad service,positive
 it was me the whole time i did a ton of things so u would believe me but u wouldnt listen or let me prove it or blve me,whole time ton things u would believe u wouldnt listen let prove blve,negative
off to finish the book nudge then going to write some,finish book nudge going write,neutral
 no one to rub it in,one rub,neutral
 ha ha  how much  thanks for starting to follow me,ha ha much thanks starting follow,positive
ok its official im old at least i feel likewise old  tiredd  wasted,ok official im old least feel likewise old tiredd wasted,negative
  dude dia   e  eu tenho curso na drc  flash expert,dude dia e eu tenho curso na drc flash expert,negative
wow ever notice that some twitters have thousands of followers yet they only follow a handful actually less than two hands of peeps,wow ever notice twitters thousands followers yet follow handful actually less two hands peeps,neutral
 ohyeahhh  hate the heat  httptwitpiccoma,ohyeahhh hate heat httptwitpiccoma,negative
ordered a new computer unfortunately it wont get here until the end of june,ordered new computer unfortunately wont get end june,negative
you make me smileit will get better you have to believe that,make smileit get better believe,positive
at work  closing files,work closing files,neutral
we expect one man band to be released sometime next week,expect one man band released sometime next week,neutral
 i really ought to pay more attention to my phone tweets sure the more moives the better,really ought pay attention phone tweets sure moives better,positive
whoops  i got sunburnt,whoops got sunburnt,negative
 perfect practice makes perfect,perfect practice makes perfect,positive
just woke up  shopping today for my birthdaykinda,woke shopping today birthdaykinda,neutral
_thompson u may need this pilli think u are crazyhere take on of mine,_thompson u may need pilli think u crazyhere take mine,negative
heading to xs with nadia yeee,heading xs nadia yeee,positive
 never tried to ftp to s but i use fireftp firefox browser addin  no mention of s support on their site though,never tried ftp use fireftp firefox browser addin mention support site though,neutral
damnnn this day came to fast but i cherished all the moment i had,damnnn day came fast cherished moment,positive
i dont care what kind of graphics or engines video games have nowadays they are nothing compared to the oregon trail and carmen sandiego,dont care kind graphics engines video games nowadays nothing compared oregon trail carmen sandiego,neutral
hmmm thinking about taking back that i feel better this morning  i think i spoke to early,hmmm thinking taking back feel better morning think spoke early,positive
dang need to go to cousins and i didnt upload all the videos  now i need to do it later,dang need go cousins didnt upload videos need later,neutral
hurt my left knee somehow last night hurts to walk,hurt left knee somehow last night hurts walk,negative
night  not talking to my victor  im so bored at night now grrrr i hate this ,night talking victor im bored night grrrr hate,negative
 selfupdate and clean ruby fixed that part but now its failing on rbrubygems,selfupdate clean ruby fixed part failing rbrubygems,negative
shopping with  beckyyy  going to starbucks in a minute,shopping beckyyy going starbucks minute,neutral
all pugged in and ready to go device updates on so feel free to bombard me at any time  time to actually get something done,pugged ready go device updates feel free bombard time time actually get something done,neutral
back from the gym just checkin email gonna go watch an old movie or something its a little cool out to sit outside and read,back gym checkin email gon na go watch old movie something little cool sit outside read,neutral
 i like your new profile pic very cute,like new profile pic cute,positive
__emilyy you guys are the bomb haha,__emilyy guys bomb haha,neutral
just got back from seeing star strek,got back seeing star strek,neutral
 haha we just say two weeks but please do continue with the bre its great,haha say two weeks please continue bre great,positive
 lol trying to take after her old man eh good for her hehehe very cute,lol trying take old man eh good hehehe cute,positive
what fun  i got retweeted by a bot,fun got retweeted bot,positive
 no its a bug  in coding go into the forum then do reg let me know if that work,bug coding go forum reg let know work,negative
 thats family for you  imna crash woke up   days in a rowlol,thats family imna crash woke days rowlol,negative
 thanks,thanks,positive
just getting an additional free day,getting additional free day,neutral
great day and another one awaits,great day another one awaits,positive
 happy mothers day  hugs,happy mothers day hugs,positive
missed iron chef,missed iron chef,negative
_cullen thats so nice to hear  i love you youre my best friend and my sister hug u,_cullen thats nice hear love youre best friend sister hug u,positive
 hehe i will never thorw out these shoes  im listening to varsity fanclub surprise surprise  sway sway baby is awesome,hehe never thorw shoes im listening varsity fanclub surprise surprise sway sway baby awesome,positive
guys a serious question which song do you like most of all your cds be honest i know you wont reply me   maria,guys serious question song like cds honest know wont reply maria,positive
 httptwitpiccomy  niceee  hey i never get stickersss,httptwitpiccomy niceee hey never get stickersss,neutral
is revisingg,revisingg,neutral
in about  hours from now i will find out how good the star trek film from jj really is a ticket costs  euro and i hope its worth it,hours find good star trek film jj really ticket costs euro hope worth,positive
man i cant belive that you did what you did everything does not look as good as it is,man cant belive everything look good,negative
i feel  pounds lighter,feel pounds lighter,neutral
so much work ,much work,negative
 holllaaa i dont know what ur up doing but im trying to finish up some work for school bout to go to bed though,holllaaa dont know ur im trying finish work school bout go bed though,neutral
 yeeh i also have a thing for drummers  basically all guys have  do is play an instrument or sing and im all theirs p,yeeh also thing drummers basically guys play instrument sing im p,positive
im craving something salty in my mouth  tired of pretzels tho,im craving something salty mouth tired pretzels tho,negative
 yw it gets really hot there in the middle of the summer like  but right now its perfect and less then an hour away,yw gets really hot middle summer like right perfect less hour away,positive
 indeed we live a life on the edge of things and one foot foul of the law,indeed live life edge things one foot foul law,negative
 httptwitpiccomuzx  haha his heads bigger than yours awwwh lol,httptwitpiccomuzx haha heads bigger awwwh lol,positive
 minutes until im off from work i guess ill go back to work in  minutes its slow today thank god for one of those days,minutes im work guess ill go back work minutes slow today thank god one days,positive
oh no  no more celebrity ding dong for ages,oh celebrity ding dong ages,negative
bgt aw bless her my stomach sank when she first whimpered but good on her for trying to carry on thats nice of simon to take charge,bgt aw bless stomach sank first whimpered good trying carry thats nice simon take charge,positive
happy mothers day to all motherssss  ,happy mothers day motherssss,positive
please dont forget us,please dont forget us,negative
new toys,new toys,neutral
 if it doesnt work out drop me a line i would love to talk with you more about this,doesnt work drop line would love talk,positive
 i had a blast at the sale today had one pair of cords mis sized tho  but still worth it might come back tomorrow thankssss,blast sale today one pair cords mis sized tho still worth might come back tomorrow thankssss,positive
 damnit i didnt  but neither did you so win,damnit didnt neither win,neutral
 its what i say why kge last day at the job today  we wont be saying him around anymore,say kge last day job today wont saying around anymore,neutral
wow officially i have no life this month lol my friends dont believe me when i say they need to book in advance,wow officially life month lol friends dont believe say need book advance,neutral
finally finished that topic quick revision break then on to how far did heath change the conservative party,finally finished topic quick revision break far heath change conservative party,neutral
flordia and  where do u send in the pictures of the shrits saw ur update on facebook,flordia u send pictures shrits saw ur update facebook,neutral
not so good at remembering to do this twitter thing sorry everybody i leave for tibet todaywith a head cold,good remembering twitter thing sorry everybody leave tibet todaywith head cold,negative
harley passed away in december   httpappsfacebookcomdogbookprofileview,harley passed away december httpappsfacebookcomdogbookprofileview,negative
 i sooooooooooooooooo need to see u  im on some bs real deadass lmao,sooooooooooooooooo need see u im bs real deadass lmao,neutral
just got home not wanting to read the last chaper of breaking dawn cause i dont want it to beover,got home wanting read last chaper breaking dawn cause dont want beover,neutral
there are some great honey based recipes for you  the kids to download  at   httptwurlnlltlny  join in the fun for honey week,great honey based recipes kids download httptwurlnlltlny join fun honey week,positive
 mmm  btw i was just talking to you  you were gone  ,mmm btw talking gone,neutral
sadly i am bprohibiting myself from tweeting tonight sorry,sadly bprohibiting tweeting tonight sorry,negative
 sounds good this patch was brought to you by ,sounds good patch brought,positive
 its not much better than instant,much better instant,neutral
far too sick to sing  ive got a post nasal drip and a sore throat just sent my sorry i wont be there email,far sick sing ive got post nasal drip sore throat sent sorry wont email,negative
 how fun  where is the twitpic i had purple hair once,fun twitpic purple hair,positive
 i know     hhrs,know hhrs,neutral
still working in the database and trying to decide what i want to eat,still working database trying decide want eat,neutral
making pork stirfry and brown rice for dinner,making pork stirfry brown rice dinner,neutral
oh mennot in the mood  ill go home tomorrowwanna be w my familyits my birthday,oh mennot mood ill go home tomorrowwanna w familyits birthday,negative
last day at dma over     a million sad faces,last day dma million sad faces,negative
 any ideas tempat apa yang paling cocok jupiter seru juga,ideas tempat apa yang paling cocok jupiter seru juga,neutral
 yes otherdad   wait do i go back to sleep or cause mischief,yes otherdad wait go back sleep cause mischief,neutral
ouchwaited to long to get eyebrows waxed,ouchwaited long get eyebrows waxed,negative
is working allll weeekend,working allll weeekend,neutral
_com ohhh got it its the  i think  i miss the pistons  i really hope joe d cooks up something big,_com ohhh got think miss pistons really hope joe cooks something big,neutral
 i didnt win  but i will continue to try keep giving away those fabulous watches cant wait to win,didnt win continue try keep giving away fabulous watches cant wait win,positive
i think i may cry i just sold my  civic its no longer mine,think may cry sold civic longer mine,negative
i hadnt realised how long it had been since i was last tweeting now im on here i dont know what to say  x,hadnt realised long since last tweeting im dont know say x,neutral
 have an amazing time with your mommas tomorrow show them how much they mean to you  whatever you do they will love it,amazing time mommas tomorrow show much mean whatever love,negative
  caww that sounds good i hope youre right,caww sounds good hope youre right,positive
_mandm helaas en thanks,_mandm helaas en thanks,positive
one lactose pill is not enough for coffeeoopse,one lactose pill enough coffeeoopse,neutral
 we tried to dm you but your not following us,tried dm following us,negative
 days till brighton,days till brighton,neutral
 so you have to call the customer care  or try to enter any wrong pw and see the result  is it invalid user name or password ,call customer care try enter wrong pw see result invalid user name password,neutral
 woohoo  my broom isnt up to standardsthere is no seatbelt on minewhispers  i like the swiffer,woohoo broom isnt standardsthere seatbelt minewhispers like swiffer,neutral
 i have to admit at being a colin firth groupie at this point,admit colin firth groupie point,neutral
 wassup beautiful follow me  peep out my new hit singles wwwmyspacecomipsohot i def wat u in the video,wassup beautiful follow peep new hit singles wwwmyspacecomipsohot def wat u video,neutral
_of_the_dead i met a stranger just  min ago he was stalking me at the store,_of_the_dead met stranger min ago stalking store,neutral
  aw her latest  selenagomezlast day of shooting goodbye canada ,aw latest selenagomezlast day shooting goodbye canada,neutral
 no aha is unfortunatelly from norway we have a big family happening and therefore we need some old hits,aha unfortunatelly norway big family happening therefore need old hits,negative
it takes nearly  days to figure out what causes the mic problems at euruko do not hold the mic at the bottom,takes nearly days figure causes mic problems euruko hold mic bottom,neutral
 and hes not even fat huh  hes just friggin huge  i have a freak,hes even fat huh hes friggin huge freak,neutral
raining  i missed the rain so much  i am grateful for it ,raining missed rain much grateful,neutral
me and the calculator made lots of little algebra babies today,calculator made lots little algebra babies today,neutral
 but then you might end up like that poor bus driver  and this is kinda weird but i wish i was there today o,might end like poor bus driver kinda weird wish today,negative
happy mothers day to all the moms on there,happy mothers day moms,positive
its about to rain,rain,neutral
 im a jerk  now i cant go out    dammit frank why do i suck so bad,im jerk cant go dammit frank suck bad,negative
good morning twitts another gloomy day in nyc,good morning twitts another gloomy day nyc,positive
last day off back to work tomorrow,last day back work tomorrow,neutral
 hey its good to see you here will now follow you would be nice to have a photo,hey good see follow would nice photo,positive
 time to reissue all  albums on vinyl  yesss that would be fab fab fab,time reissue albums vinyl yesss would fab fab fab,positive
_j jess just posted some hawt pics on the board j  u should check them out,_j jess posted hawt pics board j u check,neutral
has some bad newss,bad newss,negative
now going to watch the brand new episode of the hills  cant wait,going watch brand new episode hills cant wait,neutral
  anytime  why ya gonna be up so late,anytime ya gon na late,neutral
_hope why,_hope,neutral
im am going to send some twits to some folk,im going send twits folk,neutral
_diaz i did notice more men with kids in stores on sati am heading to church and sing in the choir in the st  nd services,_diaz notice men kids stores sati heading church sing choir st nd services,neutral
i am so glad its friday i just got off work and im so tired,glad friday got work im tired,neutral
 the archetype thing was for a comm class that studied archetypes in popular media reading your links now thanks,archetype thing comm class studied archetypes popular media reading links thanks,neutral
worried for my cousin and her son,worried cousin son,negative
is watching big brothes big quiz           rather tiredd     but downloading a dvd so have to wait till finished till i can go to bed,watching big brothes big quiz rather tiredd downloading dvd wait till finished till go bed,negative
happy star wars day may the th be with you,happy star wars day may th,positive
tweeeeeet good morning twitterland going to work at  so need to keep packing and cleaning this flat move out in t minus one day,tweeeeeet good morning twitterland going work need keep packing cleaning flat move minus one day,positive
 warm and wet  spent the day carpet cleaning the yacht,warm wet spent day carpet cleaning yacht,neutral
with red who is blue,red blue,neutral
talk at you all lates,talk lates,neutral
had best get revising over da weekend got an exam on monday for  hours,best get revising da weekend got exam monday hours,neutral
 no loic you need to build in a scheduler that lets us post while we sleep,loic need build scheduler lets us post sleep,neutral
stu is actually severly sunburntit hurts,stu actually severly sunburntit hurts,negative
ahh everyones out today taking in the sunny weather except me  might go and watch some tv,ahh everyones today taking sunny weather except might go watch tv,neutral
 everythings fine now,everythings fine,positive
going to a garden centre today should be funn  currently drinking egyptian spice tea and watching hollyoaks,going garden centre today funn currently drinking egyptian spice tea watching hollyoaks,positive
 nat has a twitter acct,nat twitter acct,neutral
 i wont feel guilty and like i should be revising stuff after today haha,wont feel guilty like revising stuff today haha,positive
these days have been looking better better betterrrrrrrr,days looking better better betterrrrrrrr,positive
happy mothers day  httpbitlyfgxd,happy mothers day httpbitlyfgxd,positive
monday morning  lets whip out some code today,monday morning lets whip code today,neutral
ouch head hurts,ouch head hurts,negative
there is a sadness in the air at school  but i got two awards,sadness air school got two awards,neutral
oh goody  its doctor who hooray for iptv,oh goody doctor hooray iptv,neutral
i need monies  school is expensive,need monies school expensive,negative
 i really havent got the hang of these hash tags have i,really havent got hang hash tags,neutral
dougie poynter replyed to me,dougie poynter replyed,neutral
 mark twain quote is spot on my cat is a bugger when it comes to crime handy at times,mark twain quote spot cat bugger comes crime handy times,positive
 wont be able to manage  nights babe have lil ones depending on me here  ,wont able manage nights babe lil ones depending,neutral
so lathargic definitely need today to rest sad bout havin to call out but mentally i needed to,lathargic definitely need today rest sad bout havin call mentally needed,negative
such a long day heading to bed   iloveyou ,long day heading bed iloveyou,positive
making more muffinsss wheat jerm aannndd psyillium husk,making muffinsss wheat jerm aannndd psyillium husk,neutral
craving coffee,craving coffee,neutral
i am trying to figure out how to use twitter,trying figure use twitter,positive
  i can do nana or nana rocks for you in rhinestones  do printed onesies for them my nana loves me,nana nana rocks rhinestones printed onesies nana loves,neutral
_ thats why twitter rocks,_ thats twitter rocks,neutral
 yeah for sure,yeah sure,neutral
 huggles i dont see all the replies right away and my boss is hovering today and im feeling pissy about life,huggles dont see replies right away boss hovering today im feeling pissy life,negative
head hurts bad,head hurts bad,negative
 bows  i trysometimes it is hard,bows trysometimes hard,negative
 was always told to keep sucking something like fruit gums,always told keep sucking something like fruit gums,neutral
well it was very inspirative day theres no room for design in todays schedule so im heading to bed,well inspirative day theres room design todays schedule im heading bed,neutral
im up  going to work,im going work,neutral
 am happy to provide backup support for all murderous rampages,happy provide backup support murderous rampages,positive
getting impatient with the turnaround time on repairs to my broken on arrival new espresso machine  fb,getting impatient turnaround time repairs broken arrival new espresso machine fb,negative
going to woodland hills  gna swim and drink makin the best of a good day yee,going woodland hills gna swim drink makin best good day yee,positive
 hey tom im happy that youre enjoying brazil but im sad cuz im not goin to see you in your show,hey tom im happy youre enjoying brazil im sad cuz im goin see show,neutral
good nite everybody  baby boy,good nite everybody baby boy,positive
has finally finished emulsioning the bathroom now for gloss work,finally finished emulsioning bathroom gloss work,neutral
in ryehappy mothers day mums  ily mummy  lol,ryehappy mothers day mums ily mummy lol,positive
oh how i miss my truck i could have my whole place moved by now,oh miss truck could whole place moved,negative
trying to watch lost online very annoying and slowthe internet not lost,trying watch lost online annoying slowthe internet lost,negative
already missing my biddy bops  home at moms for the night watching my little bro and getting some rest for my birthday party tomorrow d,already missing biddy bops home moms night watching little bro getting rest birthday party tomorrow,neutral
 totally  plain and simple i hate all thoes bridezilla shows if i was the groom id be running far far away,totally plain simple hate thoes bridezilla shows groom id running far far away,negative
today seems like it should be a good day even though my fuel pump is going out on my car  xoxo,today seems like good day even though fuel pump going car xoxo,positive
 i miss you,miss,negative
playing board games,playing board games,neutral
no more wiffleball  ,wiffleball,negative
 happy mommas day  ging is so lucky to have a momma like u  enjoy ur nite luv ya,happy mommas day ging lucky momma like u enjoy ur nite luv ya,positive
is feeling a bit lonely,feeling bit lonely,negative
  holla happy early mothers day,holla happy early mothers day,positive
  imnot aloud to call youbut i think your awesomeily,imnot aloud call youbut think awesomeily,positive
 i used to love you lolso awesomei knew youd have an experience last night,used love lolso awesomei knew youd experience last night,positive
 thanks will check next time im in target its over an hour away,thanks check next time im target hour away,neutral
theres a guy in my house so i cant go downstairs with no pants,theres guy house cant go downstairs pants,neutral
going to get some strawberries for the champagne tonight,going get strawberries champagne tonight,neutral
 httptwitpiccomgy   hes well cooool  lovve the roco shoooow,httptwitpiccomgy hes well cooool lovve roco shoooow,positive
 ot ot ot,ot ot ot,neutral
cough cough hack hack,cough cough hack hack,neutral
 um i think what i will miss the most is jay leno,um think miss jay leno,negative
 hott as africa lol yeah its hot here too and its a big storm here,hott africa lol yeah hot big storm,neutral
 aww sorry ot hear that  least its work though,aww sorry ot hear least work though,negative
 i follow him now,follow,neutral
 they frown on us googling alcohol at work,frown us googling alcohol work,negative
bought new racquet for  wish this racquet will do the  half and god the rest well despite recession things are fkin costly,bought new racquet wish racquet half god rest well despite recession things fkin costly,negative
yea im gonna need to put the blunt down,yea im gon na need put blunt,negative
dido us  little gods httpowlyuin just this moment let it all stop here ive had my fillwords that make you panic,dido us little gods httpowlyuin moment let stop ive fillwords make panic,negative
   they closed all three locations,closed three locations,neutral
 aww thanks bro  glad i got u active on twitter,aww thanks bro glad got u active twitter,positive
 i had recommended harney  sons httpwwwharneycom from where i order much of my tea i think,recommended harney sons httpwwwharneycom order much tea think,neutral
 good morning its been a while since ive talked to you    keep up the awesome tweets,good morning since ive talked keep awesome tweets,positive
im not ready for tomorrows competition,im ready tomorrows competition,neutral
  if only my writing wasnt so scrub,writing wasnt scrub,neutral
 you poor thing  hang in there  luf joe,poor thing hang luf joe,negative
in the mood for shrimp scampi but i dont have vermouth,mood shrimp scampi dont vermouth,negative
feeling really sick  watching the fifth element and about to smoke a cigg ugh i hate colds,feeling really sick watching fifth element smoke cigg ugh hate colds,negative
working working and working at wwwredirlandaes many hours spent but it worth lets make red irlanda big,working working working wwwredirlandaes many hours spent worth lets make red irlanda big,positive
 because you saved the frog i thought i replied to that so it would make sense so how does twitter work  gehts abi gut,saved frog thought replied would make sense twitter work gehts abi gut,neutral
_meaway im sorry hon  i know how it feels thoughim usually crazy but at a family gathering id probably hold back like that also,_meaway im sorry hon know feels thoughim usually crazy family gathering id probably hold back like also,negative
and other girls come over and my boyfriend forgets that im here,girls come boyfriend forgets im,negative
really wish i could have gone to  this weekend,really wish could gone weekend,positive
  it wont let me vote even tho im signed in,wont let vote even tho im signed,negative
 heyy its ur bdayhappy birthday,heyy ur bdayhappy birthday,positive
 that is a good pic  all the guys looked good yesterday thodont ya think,good pic guys looked good yesterday thodont ya think,positive
getting ready for school  second maths test today  also its my last day of rd year next week i will officially be in th year,getting ready school second maths test today also last day rd year next week officially th year,neutral
off to church now,church,neutral
at the dmv,dmv,neutral
squirrel where i hate squirrels,squirrel hate squirrels,negative
going off bc is making me break out,going bc making break,negative
 im not too bad just trying to get by so i can live the dream and rule the world   saving up for a super hero costume,im bad trying get live dream rule world saving super hero costume,neutral
i am not happy at all,happy,negative
i miss my water cuz my well went dry,miss water cuz well went dry,negative
getting ready to shop  birmingham here i come,getting ready shop birmingham come,neutral
ahhh im engulfed in shooooes who told me to buy so maany  shoes,ahhh im engulfed shooooes told buy maany shoes,negative
 not academically of course  i miss him already,academically course miss already,negative
just saw the new star trek movie it was so good zachary quinto is amazingggg,saw new star trek movie good zachary quinto amazingggg,positive
sushi joint was closed  but still had a nice lunch w angel,sushi joint closed still nice lunch w angel,positive
 yes need to listen to sad spsongs,yes need listen sad spsongs,neutral
i want to go see up,want go see,neutral
httptwitpiccomjaw its the frog whos been attacking chelseylol funny,httptwitpiccomjaw frog whos attacking chelseylol funny,neutral
dream of a better world because its coming someone could live off of those words dude,dream better world coming someone could live words dude,positive
devjavanet  the slowest website,devjavanet slowest website,negative
 i could really fancy a nap right now but i am at work at am and i feel that if i nap now i am wasting my evening,could really fancy nap right work feel nap wasting evening,neutral
rele doesnt want to leave lfpa,rele doesnt want leave lfpa,neutral
 why would u get in trouble with me i did not follow the logic sorry,would u get trouble follow logic sorry,negative
looking forward to having dinner with family and friendsss happy mothers day to all the moms out there,looking forward dinner family friendsss happy mothers day moms,positive
 agree completely its all about attitude  chutzpah,agree completely attitude chutzpah,positive
morning all its monday sigh trying to have a positive outlook on the day but its being difficult already,morning monday sigh trying positive outlook day difficult already,neutral
well poop  looks like the office doesnt have the keys  i dont have the keys  neighbors dont have the keys   bike rides from now on,well poop looks like office doesnt keys dont keys neighbors dont keys bike rides,neutral
now i have no sky until monday,sky monday,neutral
 congratulations  xo,congratulations xo,positive
has got grass all over him,got grass,neutral
thought i was going to have a fun day,thought going fun day,neutral
needs a new job either closer to home or worth the drive,needs new job either closer home worth drive,positive
waking up at ungodly hours to go to work is starting to get old but at least the coffee is good,waking ungodly hours go work starting get old least coffee good,positive
 im  yaoo not  sonnnny,im yaoo sonnnny,neutral
popping out to see samson and delilah this arvo hear it is good,popping see samson delilah arvo hear good,positive
 its fun to see that glimpse of your life,fun see glimpse life,positive
in a rush   lunchtime anyway,rush lunchtime anyway,neutral
 yeah and neither of them are in huntsville   i would so quit both of my jobs here for one job there,yeah neither huntsville would quit jobs one job,neutral
 i dont like to see you like this  there must be something to make you smile,dont like see like must something make smile,negative
_dam haha that would be cool brianna and i should fly over there  haha,_dam haha would cool brianna fly haha,positive
 it was amazing had the best time  hope you had a good weekend too,amazing best time hope good weekend,positive
did crossfit running todayagitated my right leg,crossfit running todayagitated right leg,negative
 i think its less of a tribute and more of a parody,think less tribute parody,negative
httpbitlycty how about some celtic up in our lives,httpbitlycty celtic lives,neutral
cant wait  hand in work tomorrow then im practically finished for the year  yay,cant wait hand work tomorrow im practically finished year yay,neutral
happy mothers day to all to all the wonderful moms out there  matalatine,happy mothers day wonderful moms matalatine,positive
  i wish i knew someone down there who could hook us up   a friend told me once that they got crappy seats for a show in chi,wish knew someone could hook us friend told got crappy seats show chi,negative
 glad you like,glad like,positive
_shiny thanks for the headsup youre an hour ahead of me here,_shiny thanks headsup youre hour ahead,positive
 oh that said the sellout was a fluke it turns out the projector was broken   i still think the film is bloody good times tho,oh said sellout fluke turns projector broken still think film bloody good times tho,neutral
 tat psp its ma fathers name hw did it end up in ma userid long story  vishnupsp is ma user id for almost all sites,tat psp fathers name hw end userid long story vishnupsp user id almost sites,neutral
just woke up and washed up i have class   till  then chillin in g building with my nigguhs then my bby is coming over    ilh,woke washed class till chillin g building nigguhs bby coming ilh,neutral
had a awesome day,awesome day,positive
 sweeny todd is an awesome movie the best,sweeny todd awesome movie best,positive
 yay so the nekkid writing is working thenyou keep warm now am in awe of the k  am always cactus by  good luck,yay nekkid writing working thenyou keep warm awe k always cactus good luck,positive
wow almost got involved in this big fight at school  ah but anyways text me going to causins house plus game crazy,wow almost got involved big fight school ah anyways text going causins house plus game crazy,positive
 didnt know you were on twitter coming to the show tomorrow lorraine cant make it,didnt know twitter coming show tomorrow lorraine cant make,neutral
my dog ran awayyy,dog ran awayyy,negative
internet is painfully slow today,internet painfully slow today,negative
 im on mobile web and it wont let me  it looks awesome thoughand no one reads my tweets anyway,im mobile web wont let looks awesome thoughand one reads tweets anyway,neutral
has made herself officially unavailable to her best friend,made officially unavailable best friend,negative
 i know pero available na yata eh sa singapore though,know pero available na yata eh sa singapore though,neutral
 congrats on your new phone,congrats new phone,positive
_la_mania i have no mask to  whoooops,_la_mania mask whoooops,neutral
 i was thinking that too this morning dont worry it soon passes,thinking morning dont worry soon passes,positive
sportday with charlotte,sportday charlotte,neutral
endlessly fascinated by the dual engine monitor in this cab then it reminds me of sustainability fail  sorry next gen,endlessly fascinated dual engine monitor cab reminds sustainability fail sorry next gen,negative
needs my mommy  httpplurkcompxr,needs mommy httpplurkcompxr,neutral
 thats what i like to hear i am unabashedly not cool thats what makes me so cool byw  logic,thats like hear unabashedly cool thats makes cool byw logic,neutral
 woman follow me,woman follow,neutral
packing up my desk,packing desk,neutral
 as a nj native i thank u,nj native thank u,positive
sweet usb at charles and marie site just bought it  httptinyurlcomcsdhw,sweet usb charles marie site bought httptinyurlcomcsdhw,positive
gah why is my macbook pro getting so frickin hot just sitting on the table doing nothing,gah macbook pro getting frickin hot sitting table nothing,negative
 days away from being evicted,days away evicted,neutral
  now you have to cover the whole purse with those so it looks like a pattern,cover whole purse looks like pattern,neutral
 i was ment  c u tonyt but my frend was l n wen we got ther they wernt letin priority tickets in  ill def be aplyin agen tho,ment c u tonyt frend l n wen got ther wernt letin priority tickets ill def aplyin agen tho,neutral
spending qt with the hubby,spending qt hubby,positive
fever of  awesome my tonsils are so swollen i cant even eat solid food still on location  the pictures rule though,fever awesome tonsils swollen cant even eat solid food still location pictures rule though,neutral
wishing warped tour came to london canada,wishing warped tour came london canada,neutral
i shrunk my favourite cardigan  hubby said hed buy me a new one i practically lived in it and its gone i shall say a few words ,shrunk favourite cardigan hubby said hed buy new one practically lived gone shall say words,negative
this darn cold just keeps getting worse  i bought some hayfever pills just to try out maybe ive had that all along,darn cold keeps getting worse bought hayfever pills try maybe ive along,negative
 it does but that game doesnt,game doesnt,neutral
 hello im good thank you  tottaly tired been working lots todaytottaly shattered  what about u,hello im good thank tottaly tired working lots todaytottaly shattered u,neutral
really wanted to go to that gig tonight,really wanted go gig tonight,positive
happy mamas day to all mothers,happy mamas day mothers,positive
but did i mention spending time with two bffs  totally worth it,mention spending time two bffs totally worth,positive
 very cute and pretty,cute pretty,positive
 see you on may ,see may,neutral
   oh dear  boyle is staying ,oh dear boyle staying,neutral
 can you send ringtones to iphones idk how to regular ringtones for it,send ringtones iphones idk regular ringtones,neutral
morning twitties heading to college just back from the docs god im hungry  streching my ears again today mm  payday i love you,morning twitties heading college back docs god im hungry streching ears today mm payday love,positive
sleeping in my own bed tonight at home,sleeping bed tonight home,neutral
